iter	Logloss
0	0.6278914856
1	0.5696154461
2	0.5201222329
3	0.4798298022
4	0.4460629724
5	0.4143480432
6	0.3905740718
7	0.3697712617
8	0.3520767485
9	0.3349381818
10	0.3192461274
11	0.3069954004
12	0.2964274253
13	0.2872491431
14	0.2771679029
15	0.2689088988
16	0.2622089875
17	0.2562379607
18	0.2518835623
19	0.2469510184
20	0.2413054582
21	0.2370450633
22	0.233546648
23	0.2292499829
24	0.2259249835
25	0.2234626613
26	0.2212952103
27	0.2179871064
28	0.2161384053
29	0.2134405376
30	0.2116536892
31	0.2094324391
32	0.2077063695
33	0.2056060001
34	0.2039446762
35	0.2020416826
36	0.2005794072
37	0.1994221062
38	0.1980040981
39	0.19657115
40	0.1951632511
41	0.1943786932
42	0.1933410385
43	0.1924561362
44	0.1911331958
45	0.1899423877
46	0.1893114128
47	0.1881298472
48	0.1873613669
49	0.1863980159
50	0.1856181313
51	0.1846957502
52	0.1837126859
53	0.1829307413
54	0.1821744055
55	0.1813390377
56	0.180847635
57	0.180047643
58	0.1792413287
59	0.1784311732
60	0.1779389671
61	0.177538224
62	0.1769789578
63	0.1759330428
64	0.1751809746
65	0.1743877727
66	0.1736489512
67	0.1728477007
68	0.1721782577
69	0.17154852
70	0.1710450084
71	0.1707546161
72	0.1700363585
73	0.1696575429
74	0.1687941546
75	0.168252587
76	0.1678490379
77	0.1674690542
78	0.1669979591
79	0.1665253057
80	0.1660263353
81	0.1654975945
82	0.1651153405
83	0.1645696615
84	0.1641856802
85	0.1636481796
86	0.1634376484
87	0.1629631655
88	0.1624680167
89	0.16212068
90	0.1617246731
91	0.1611744582
92	0.1608805439
93	0.1602925995
94	0.1599636131
95	0.1598317885
96	0.1593859553
97	0.1589324271
98	0.1583808034
99	0.1580945068
100	0.1578080508
101	0.157426003
102	0.1571286443
103	0.1566469402
104	0.1562270375
105	0.1560485651
106	0.1557237452
107	0.1554624242
108	0.1550687869
109	0.1548425344
110	0.1545569227
111	0.1541768297
112	0.1538291537
113	0.1535325867
114	0.1532285966
115	0.1528832635
116	0.1524184915
117	0.151950709
118	0.1517097601
119	0.1514572489
120	0.1510534932
121	0.1508846598
122	0.1506311906
123	0.1502298498
124	0.1499422743
125	0.149530196
126	0.1492607534
127	0.1491000846
128	0.1488713653
129	0.1484792187
130	0.1481247546
131	0.1478525187
132	0.1474630145
133	0.1470838571
134	0.1468682566
135	0.1466072848
136	0.1464868515
137	0.1462664209
138	0.1458779309
139	0.1456788942
140	0.1454236052
141	0.1450214771
142	0.1449439693
143	0.1448007491
144	0.1446824367
145	0.1443777834
146	0.1441932928
147	0.1438886117
148	0.1436334315
149	0.1431912125
150	0.1430543102
151	0.14279218
152	0.1425064258
153	0.1423141633
154	0.1422133522
155	0.1418521643
156	0.1416776529
157	0.1413456191
158	0.141105761
159	0.1408939687
160	0.1405228582
161	0.1401360486
162	0.1399134231
163	0.1396787055
164	0.1395612172
165	0.139437465
166	0.1391123073
167	0.1388760421
168	0.1385810696
169	0.1383049594
170	0.1380947463
171	0.1378990783
172	0.1375933488
173	0.1374798899
174	0.1371696677
175	0.1370256544
176	0.1367088389
177	0.1363076384
178	0.1360619179
179	0.1358246821
180	0.1355661433
181	0.1352829406
182	0.1350474749
183	0.1347938034
184	0.1345664118
185	0.1342185661
186	0.1340166996
187	0.1338114905
188	0.133617861
189	0.1334385044
190	0.1333544953
